Event-tag                        med-snr-value            std-snr-value
catalog_1_yrs.txt.92.278       11.607717183624647        1.0835729341612954
catalog_1_yrs.txt.92.255       11.636120486130793        1.0689346531733817
catalog_1_yrs.txt.92.181       11.980856159389802        1.0792985814158358
catalog_1_yrs.txt.92.171       12.085050804793296        1.1174577237917096
catalog_1_yrs.txt.92.111       12.164193686145568        1.09724982901192
catalog_1_yrs.txt.92.203       12.172591416891821        1.2188058069502024
catalog_1_yrs.txt.92.317       12.237038113319956        1.0514753222706787
catalog_1_yrs.txt.92.54        12.47532827693034         1.0149946305072286
catalog_1_yrs.txt.92.150       12.681102075772866        1.0764058438303503
catalog_1_yrs.txt.92.7         12.728105808638587        1.049537970329226
catalog_1_yrs.txt.92.9         13.512739003605919        1.0687572871481392
catalog_1_yrs.txt.92.370       13.717428139923973        1.075003896064788
catalog_1_yrs.txt.92.238       14.241033302472083        1.0979212550983335
catalog_1_yrs.txt.92.359       15.146863753352457        1.033559956989467
catalog_1_yrs.txt.92.67        15.23809043071763         1.0945916030843819
catalog_1_yrs.txt.92.38        15.29975671753978         1.106313342790786
catalog_1_yrs.txt.92.168       16.317206160265886        1.0974237487793688
catalog_1_yrs.txt.92.119       17.073504288075284        1.0393607535494522
catalog_1_yrs.txt.92.101       17.50660696959456         1.0403304362311696
catalog_1_yrs.txt.92.169       17.998767042144664        1.1138072503114078
catalog_1_yrs.txt.92.58        18.441958225377007        1.045055447326944
catalog_1_yrs.txt.92.161       19.345229970472886        1.0455004222979902
catalog_1_yrs.txt.92.175       19.445614933081934        0.9944295490842854
catalog_1_yrs.txt.92.60        21.34554944767139         1.0124929139089225
catalog_1_yrs.txt.92.72        21.48930226485712         1.0419673012002082
catalog_1_yrs.txt.92.340       21.49502518784437         1.0616920039173148
catalog_1_yrs.txt.92.172       22.422193203667646        1.0598835624945997
catalog_1_yrs.txt.92.191       22.64885987707869         1.0266499722335154
catalog_1_yrs.txt.92.165       23.28390248342853         1.0332921458411521
catalog_1_yrs.txt.92.286       24.083489634174583        1.0165934583689056
catalog_1_yrs.txt.92.51        27.016378522889966        1.0521773906541216
catalog_1_yrs.txt.92.113       27.276141504533214        1.0344996494653906
catalog_1_yrs.txt.92.128       33.20115349455094         1.0556722143382502
catalog_1_yrs.txt.92.214       34.19574950073856         1.0044164147102028
catalog_1_yrs.txt.92.335       42.63906684322406         1.0316045497354904
catalog_1_yrs.txt.92.174       43.69506344209765         1.0277336979073868
catalog_1_yrs.txt.92.15        68.20725028884642         0.9944794982201811
catalog_1_yrs.txt.92.247       78.98653635957271         1.004812395225861
catalog_1_yrs.txt.92.237       82.86981406096349         0.9964017039625243
catalog_1_yrs.txt.92.353       92.12411792208802         1.0218014044373893
catalog_1_yrs.txt.92.254       98.44387298007574         0.9997663911413793
catalog_1_yrs.txt.92.57        113.6303985297852         1.014777697227988
catalog_1_yrs.txt.92.228       132.08326258272265        1.0140447144188167
catalog_1_yrs.txt.92.121       150.93977636212216        0.9977110599851597
catalog_1_yrs.txt.92.301       373.41667055778           1.0086777464155927
catalog_1_yrs.txt.92.320       473.7517109326756         1.0078375335061955
catalog_1_yrs.txt.92.266       481.27477610220035        1.0084457605954882
